chr,start,stop,allele_frequency,variant_type,dbsnp_id,dbsnp_variant_type,significances,origins,diseases
17,7565165,7565166,0.0014,SNP,rs186032731,snv,,,
17,7569495,7569496,0.0005,SNP,rs148556337,snv,,,
17,7569541,7569542,0.01,SNP,rs74351250,snv,,,
17,7569545,7569546,0.0041,SNP,rs144366923,snv,not-provided,germline,not specified
17,7571751,7571752,0.01,SNP,rs78378222,snv,risk-factor;conflicting-interpretations-of-pathogenicity,unknown;germline,"Hereditary cancer-predisposing syndrome;Basal cell carcinoma, susceptibility to, 7;Li-Fraumeni syndrome 1"
17,7571829,7571830,0.0005,SNP,rs139396032,snv,,,
17,7571856,7571857,0.01,SNP,rs114831472,snv,benign,germline,Li-Fraumeni syndrome 1
17,7571990,7571991,0.0027,SNP,rs55817367,snv,likely-benign,germline,Li-Fraumeni syndrome 1
17,7572100,7572101,0.05,SNP,rs17884306,snv,benign,germline,Li-Fraumeni syndrome 1
17,7572313,7572314,0.01,SNP,rs17879353,snv,benign,germline,Li-Fraumeni syndrome 1
17,7572355,7572356,0.01,INDEL,rs202099016,,,,
17,7572441,7572442,0.04,SNP,rs4968187,snv,benign,germline,Li-Fraumeni syndrome 1
17,7572517,7572518,0.0018,SNP,rs191918079,snv,likely-benign,germline,Li-Fraumeni syndrome 1
17,7572598,7572599,0.01,SNP,rs17881366,snv,benign,germline,Li-Fraumeni syndrome 1
17,7572721,7572722,0.01,SNP,rs16956880,snv,benign,germline,Li-Fraumeni syndrome 1
17,7573947,7573948,0.0005,SNP,rs35993958,snv,uncertain-significance;benign-likely-benign;conflicting-interpretations-of-pathogenicity;likely-benign,unknown;germline,not provided;Li-Fraumeni syndrome 1;Li-Fraumeni syndrome;Hereditary cancer-predisposing syndrome;not specified
17,7576542,7576543,0.0005,SNP,rs201293647,snv,likely-benign,germline,Hereditary cancer-predisposing syndrome
17,7576545,7576546,0.0005,SNP,rs200274944,snv,likely-benign,germline,Hereditary cancer-predisposing syndrome
17,7576910,7576911,0.0005,SNP,rs145151284,snv,benign;uncertain-significance;conflicting-interpretations-of-pathogenicity;benign-likely-benign,unknown;germline,not provided;Squamous cell carcinoma of the head and neck;Li-Fraumeni syndrome 1;Li-Fraumeni syndrome;Hereditary cancer-predisposing syndrome;not specified
17,7577045,7577046,0.0005,SNP,rs201744589,snv,likely-benign;uncertain-significance;pathogenic;conflicting-interpretations-of-pathogenicity,somatic;unknown;germline,not provided;Neoplasm of ovary;Li-Fraumeni syndrome 1;Rhabdomyosarcoma (disease);Li-Fraumeni syndrome;Hereditary cancer-predisposing syndrome
17,7577068,7577069,0.0005,SNP,rs55819519,snv,uncertain-significance;likely-pathogenic;benign;conflicting-interpretations-of-pathogenicity,unknown;maternal;germline,not provided;Squamous cell carcinoma of the head and neck;Bone marrow failure syndrome 5;Li-Fraumeni syndrome 1;Li-Fraumeni syndrome;Hereditary cancer-predisposing syndrome;not specified
